org_id,name,org_type,parent_org_id,total_score,grade,robots_txt,content_accessibility,structured_data,technical_accessibility,llms_txt,sitemap_xml,scan_date
K167,한국공정거래조정원,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K169,한국과학기술기획평가원,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K170,국가과학기술인력개발원,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K171,한국과학창의재단,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K173,한국광해광업공단,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K174,한국교육개발원,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K175,한국교육과정평가원,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K177,한국교통안전공단,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K182,한국국제협력단,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K205,한국마약퇴치운동본부,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K223,한국보건의료인국가시험원,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K311,한국치산기술협회,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K312,한국콘텐츠진흥원,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K313,한국탄소산업진흥원,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K314,한국토지주택공사,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K315,한국투자공사,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K316,한국특허기술진흥원,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K317,한국특허전략개발원,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K331,한국행정연구원,public_institution,,37,D,17,17,0,3,0,0,2026-03-15
K040,국립부산과학관,public_institution,,36,D,17,17,0,2,0,0,2026-03-15
K080,대한체육회,public_institution,,36,D,8,4,11,13,0,0,2026-03-15
K276,한국의료기기안전정보원,public_institution,,35,D,8,6,7,12,0,2,2026-03-15
K004,(재)우체국물류지원단,public_institution,,34,D,17,17,0,0,0,0,2026-03-15
K024,경상국립대학교병원,public_institution,,34,D,17,17,0,0,0,0,2026-03-15
K041,국립생태원,public_institution,,34,D,17,17,0,0,0,0,2026-03-15
K068,국가수리과학연구소,public_institution,,34,D,17,17,0,0,0,0,2026-03-15
K099,수도권매립지관리공사,public_institution,,34,D,17,17,0,0,0,0,2026-03-15
K116,의료기관평가인증원,public_institution,,34,D,8,4,7,15,0,0,2026-03-15
K117,인천국제공항공사,public_institution,,34,D,17,17,0,0,0,0,2026-03-15
K148,충북대학교병원,public_institution,,34,D,17,17,0,0,0,0,2026-03-15
K159,한국개발연구원,public_institution,,34,D,17,17,0,0,0,0,2026-03-15
K168,한국공항공사,public_institution,,34,D,17,17,0,0,0,0,2026-03-15
K172,한국관광공사,public_institution,,34,D,17,17,0,0,0,0,2026-03-15
K216,한국법무보호복지공단,public_institution,,34,D,8,4,11,11,0,0,2026-03-15
K255,한국식품안전관리인증원,public_institution,,34,D,8,4,7,15,0,0,2026-03-15
K266,정보통신기획평가원,public_institution,,34,D,17,17,0,0,0,0,2026-03-15
K292,한국전력국제원자력대학원대학교,public_institution,,34,D,8,4,7,15,0,0,2026-03-15
K306,한국청소년상담복지개발원,public_institution,,34,D,17,17,0,0,0,0,2026-03-15
K310,한국출판문화산업진흥원,public_institution,,34,D,17,17,0,0,0,0,2026-03-15
K332,한국형사·법무정책연구원,public_institution,,34,D,17,17,0,0,0,0,2026-03-15
K338,한전KDN,public_institution,,34,D,8,4,11,11,0,0,2026-03-15
K247,한국수력원자력(주),public_institution,,33,D,8,2,0,11,10,2,2026-03-15
K256,한국양성평등교육진흥원,public_institution,,33,D,8,4,11,10,0,0,2026-03-15
K034,국가평생교육진흥원,public_institution,,30,D,8,4,7,11,0,0,2026-03-15
K035,국립공원공단,public_institution,,26,D,8,0,7,11,0,0,2026-03-15
K109,연구개발특구진흥재단,public_institution,,26,D,8,0,7,11,0,0,2026-03-15
K089,사립학교교직원연금공단,public_institution,,23,D,8,0,4,11,0,0,2026-03-15
L08,세종특별자치시,local_metro,,19,F,8,0,0,11,0,0,2026-03-15
K039,국립박물관문화재단,public_institution,,17,F,8,0,0,9,0,0,2026-03-15
K085,부산대학교병원,public_institution,,12,F,8,0,0,4,0,0,2026-03-15
K336,한국환경연구원,public_institution,,11,F,8,0,0,3,0,0,2026-03-15
